id,title,company,city,lat,lon,min_exp,skills,salary_min
fa428072-c6ec-4f76-8b83-6f4056a7184e,HEAD CHEF,Toko Mapo,,-6.29583,106.62083,5,"Cook, Creative Thinking, Teamwork, Leadership, Strategic Planning, Customer Service",0
1f682f8f-ccfa-485e-b301-a2757167dd1e,STAFF OUTLET CHEZZY COIN WONOKROMO SURABAYA,PT. Bogajaya Sukses Abadi,,-7.29889,112.73778,1,"Customer Service, Store Operations, Cashier, Store Sales",0
09a5899f-7c2f-423e-ad4f-f62b1e045d88,Marketing,My Kopi-O! Malang,,-7.97361,112.62778,1,"Market Research, Content Strategy, Social Media, Marketing Communications",0
a67daba8-cc98-4082-aab0-6d523b1d0936,Pelayan Toko,DONUT KENTANG LAGUT,,-6.365,106.92472,0,"Store Operations, Cashier, Customer Service",0
17f80803-a872-4754-ba98-ad1c3ac8bddf,Manager Restoran,Iga Bakar & Soto seger mbah kaji,,-7.83889,110.41667,1,"Restaurant Management, Catering Management, Western Restaurant",0
e2ebad0c-4cf2-43ec-a382-1e1058673c56,Admin Penjualan,PT GOLDEN PRATAMA JAYA,,-6.12083,106.76111,1,"Office Administration, Data Entry, Organizational Skills, Microsoft Office, Microsoft Excel, Customer Service, Microsoft Outlook, Google Sheets, Google Docs, Administration",0
72bbb7df-12cd-4e1b-aaae-98d9cb945afa,Kru Event,Happy Holy Kids Land,,-6.435,106.71306,0,"Event Management, Public Speaking, Event Operation",0
a1b52b27-8b7b-4b9b-8c7c-0b47f0014175,Crew Parttime,Soto Ayam Cak Son,,-7.93611,112.61806,0,"Customer Service, Store Sales, Store Display, Store Operations, Cashier",0
7235199b-d94d-485a-a505-3dcb2c7f4565,Tentor/Pengajar/Guru Psikologi/ Bahasa Inggris Yogyakarta,Pt. Pendidikan Abdi Negara,,-7.69306,110.35,0,"adaptasi, Teaching, Lesson Planning, Presentation Skills, Public Speaking, Classroom Management",0
1bb8fa66-9720-4ac7-a26b-2b92d8f3e20f,PENGAJAR MATEMATIKA,Mitra Pelajar,,-6.39889,106.79972,0,"Teaching Mathematics, Customer Service, Teaching High School Social, Teaching High School Science",0
69572375-e204-4c76-b471-b17c52f7e0db,PENGAJAR KIMIA,Mitra Pelajar,,-6.39889,106.79972,0,"Kerjasama, Teaching High School Science, Mengajar Kimia, Teaching High School Social",0
8969cc7f-e32a-400c-9251-63d5f222ba40,PENGAJAR BAHASA INGGRIS,Mitra Pelajar,,-6.39889,106.79972,0,"mengajar bahasa inggris, Teaching High School Science, Teaching High School Social, Kerjasama",0
c90e3ea9-b103-4444-a124-6d104b06a759,Host Live TikTok,JAJANPANG,,-6.325,106.90278,0,"Host, Live Streaming Sales, Communication Skills, Live Streaming",0
688054fc-c279-49c5-ba06-400d9b03ec15,Sales Horeca,PT Saerah Surya Perkasa,,-7.595,112.68111,1,"Presentation Skills, Sales Strategy, Microsoft Office, Communication Skills, Customer Service, Sales and Marketing",0
8672723d-c4cb-4612-904f-6a034f88ec1d,Teknisi Coorporate Papyrus Group,Terve Chocolate,,-6.90472,107.61722,1,"Refrigerator Repair, Dishwasher Repair, Teamwork, Air Conditioning Repair, HVAC",0
63486278-6fb5-47cb-a670-6d45cc2dc0cd,sales marketing,PT Indo Megah Abadi,,-6.40972,106.9875,0,"Marketing Strategy, Marketing Communications, Digital Marketing, Social Media",0
7aa0d55f-9b4c-4777-8b4a-aa1b22dc777f,Digital marketing,Fumi Japanese Fusion,,-6.25139,106.81667,1,"Image Editing, Teamwork, Google Analytics, Social Media, Content Strategy, Marketing Communications, Meta Ads, Content Marketing, Influencer Marketing, Digital Marketing, TikTok, TikTok Ads, Communication, Google Ads",0
4becff53-c54c-42eb-8529-04cd9c17d2ac,Staff Purchasing,PT. Surya Warna Putra,Sukoharjo,-7.61306,110.81361,1,"Relationship Building, Teamwork, Microsoft Office, Administration, Negotiation Skills, Purchasing Negotiation",0
9b705539-ddb5-4104-8f5f-8c55e8ab04be,Kitchen Staff,The Ribs & Dips X Stoneaged,,-7.30917,112.66056,0,"Home Cooking, Catering Management, Cook",0
2135688f-74cf-4f0d-8349-519ec7cb30b7,3D DESIGNER,PT Keluarga Ningrat Indo,,-6.30694,106.67917,1,"3D Rendering, SketchUp, Rendering, AutoCAD",0
3303ac4e-e660-4e7e-8685-338dd5cf726d,SALES MANAGER,CV. WELONG JAYA,,-7.46361,112.4525,3,"Sales Operations, Sales Management, Sales Strategy, Business Development, B2B Sales, Key Account Management, Performance Management, Communication Skills, Team Management, Sales Planning",0
2ff4e21f-e29a-4cbd-9828-3a92c5a3536d,Chef,PT Keluarga Ningrat Indo,,-6.29583,106.62083,1,"Cook, Baking, Food Decoration",0
f6fee4cd-12d6-4cda-8926-b397b6e12816,ASSISSTEN TRACEABILITY,PT Andalan Walet Ekspor,,-7.70778,112.64028,1,"Leadership, System Analysis, Industry Data Analysis, Memahami Flow Produksi, Excel Expert, Etos Kerja Kuat, Logika Dan Problem Solving Kuat, Adaptif",0
9c289d9a-3afc-4100-8a3a-8c652aaa4d3b,Helper Gudang,Pusat kuliner Tegaldanas,,-6.20472,106.97306,0,"Stock Opname, Staff, Teamwork",0
3053a470-e825-42e4-ad4b-ac444fb7334d,Operator Packaging,Citra &dluxe carpet,,-6.23361,106.96278,0,"Packaging Design, Packing, Problem Solving",0
6e181766-7d06-4f95-a078-74562901e226,Penerjemah  翻译,PT RAIN DEFENDER WATERPROOF REPAIR,,-6.1875,106.68222,0,"Chinese Language, Translation, Chinese-Indonesian Translation",0
92600f9d-b399-4544-8935-0858afed1c99,Waiter / Waitress,Ahjumma's Kitchen Manyar Kertoarjo,,-7.26417,112.79917,1,"Restaurant Reception, Customer Service, Western Restaurant",0
ce884e23-8c0e-4bc2-ad2e-6614a44a15f3,Kitchen Staff,The Ribs & Dips X Stoneaged,,-6.995,110.42389,0,"Catering Management, Home Cooking, Cook",0
9d7e3031-711e-4bc2-bd28-07a9ec02dc83,Waiter / Waitress,Sinar utama mie ayam setiap hari,,-6.29583,106.62083,1,"Customer Service, Western Restaurant, Restaurant Reception",0
96bf2115-8a17-4014-8877-381797e93d01,Konten kretaor,Architect Hair Studio,,-7.61306,110.81361,1,"Content Marketing, Content Strategy, Content Planning, Creative Writing, Content Editing, Content Writing, Image Editing, Content Operations, TikTok, Google Analytics",0
3e96bdaa-9fdd-449e-b8ab-0af9047dcf46,Security,Nawa,,-7.54722,110.81722,1,"Office Security, Hotel Security, Teamwork, Security Management",0
0a41ec6a-4442-42ec-80f8-6d8c8512bb02,PRAMUNIAGA,CV Budaya Makmur Abadi,,-6.12083,106.76111,0,"Customer Service, Cashier, Store Operations",0
6ac5bdf3-7fc2-4e7a-90c7-c5df27bd0fae,KEPALA GUDANG,PT.DWI SURYA PERKASA,,-7.53722,112.22111,1,"Logistics Management, Warehouse Management, Stock Opname",0
43cacda4-f18f-4c86-b1ee-32d6b52cfa73,Purchasing,LB Group,,-7.97361,112.62778,1,"Procurement Management, Purchasing Negotiation, Procurement, Material Purchasing, Purchasing",0
76f6295c-170b-4450-979d-cd426e488d53,Sales Property,PT Bangkit Bumi Nusantara,,-6.91444,107.72306,1,"Real Estate Bidding, Sales Strategy, Real Estate Marketing, Sales and Marketing, Communication Skills, Real Estate Sales",0
